,predict_original_data
921,821.1090805530305
922,821.2384532030762
923,821.3259682724266
924,821.3824278201989
925,821.4400245010276
926,821.4870368609527
927,821.5505627896971
928,821.716572652384
929,821.8731685793987
930,822.0259360718343
931,822.2042413917137
932,822.3441372513583
933,822.4945244305299
934,822.6774706100941
935,822.658167923612
936,822.6222851401985
937,822.5298883132289
938,822.459156546043
939,822.3771822731129
940,822.3368850305112
941,822.2175280163846
942,822.2547433739297
943,822.2690197133531
944,822.3276242716804
945,822.3720728507941
946,822.4130125505377
947,822.3979242711326
948,822.4144031774065
949,822.4643490807418
950,822.5117319515059
951,822.6073070347278
952,822.675699995726
953,822.8050377266985
954,822.9744010268497
955,823.1003081482377
956,823.188288729123
957,823.2131339744171
958,823.3079547813356
959,823.3751195137644
960,823.4115488267666
961,823.4134794696719
962,823.4399002649506
963,823.4480264466547
964,823.4649241423807
965,823.4733519735261
966,823.5016851822771
967,823.5203076310759
968,823.5415856104623
969,823.5488479547612
970,823.4810120708031
971,823.3930320684523
972,823.3146976202696
973,823.1642687588152
974,823.0439170914987
975,822.9854891499053
976,822.8807567397474
977,822.8280570670087
978,822.8076786096016
979,822.8231345017869
980,822.902941667175
981,823.0137877488993
982,823.0732169185643
983,823.1541279175252
984,823.308615330581
985,823.4232856215797
986,823.5071346003982
987,823.4869027299164
988,823.5171574861016
989,823.4382697743764
990,823.4458381723955
991,823.3931959879807
992,823.4786255124384
993,823.6494695566925
994,824.0113659276719
995,824.2246138008463
996,824.6468178343775
997,825.0135039069459
998,825.3048973698295
999,825.4141782940226
1000,825.5190829913555
1001,825.4653497973104
1002,825.4838747138273
1003,825.4342347345441
1004,825.358662315497
1005,825.2363800841183
1006,825.2827825249665
1007,825.2727987797933
1008,825.2209545272383
1009,825.1957272407852
1010,825.1873954707636
1011,825.2451274185659
1012,825.2307513937421
1013,825.1901224986736
1014,825.3409125180611
1015,825.550067106881
1016,825.7152288234151
1017,825.910446846782
1018,826.1314714408335
1019,826.3429841296038
1020,826.6305510226109
1021,826.8591765978055
1022,826.9203088764781
1023,826.9337800745757
1024,826.9825013724842
1025,826.9689175232264
1026,826.9784132302526
1027,826.911081126108
1028,826.9141044350788
1029,826.8423988697156
1030,826.8820498496377
1031,826.921049824711
1032,826.956677059196
1033,826.9473778488314
1034,826.9340136943106
1035,826.951818340838
1036,826.9518263465784
1037,826.925497989039
1038,826.9096221191302
1039,826.8189042767456
1040,826.6946852167179
1041,826.8780233397453
1042,827.0401799649171
1043,827.0924110694168
1044,827.1136767633756
1045,827.2287519188648
1046,827.3447174695528
1047,827.5117943481417
1048,827.4870793600086
1049,827.3195547733202
1050,827.2225096467541
1051,827.2257411016129
1052,827.199568702195
1053,827.2487908320408
1054,827.2116326659391
1055,827.2864652307876
1056,827.4090413465536
1057,827.4666032672201
1058,827.5148648189023
1059,827.5565981418827
1060,827.5517457557835
1061,827.4524129981721
1062,827.4354407945143
1063,827.3553440671808
1064,827.2799727059837
1065,827.1976167153736
1066,827.145238781369
